"date","season","year","month","holiday","weekday","workingday","weather","temp","atemp","humidity","windspeed","registered","count"
"2011-01-01",1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,654,985
"2011-01-02",1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,670,801
"2011-01-03",1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1229,1349
"2011-01-04",1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1454,1562
"2011-01-05",1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1518,1600
"2011-01-06",1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1518,1606
"2011-01-07",1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1362,1510
"2011-01-08",1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,891,959
"2011-01-09",1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,768,822
"2011-01-10",1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,1280,1321
"2011-01-11",1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,1220,1263
"2011-01-12",1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1137,1162
"2011-01-13",1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1368,1406
"2011-01-14",1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1367,1421
"2011-01-15",1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,1026,1248
"2011-01-16",1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,953,1204
"2011-01-17",1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,883,1000
"2011-01-18",1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,674,683
"2011-01-19",1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1572,1650
"2011-01-20",1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1844,1927
"2011-01-21",1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1468,1543
"2011-01-22",1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,888,981
"2011-01-23",1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,836,986
"2011-01-24",1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1330,1416
"2011-01-25",1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1799,1985
"2011-01-26",1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,472,506
"2011-01-27",1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,416,431
"2011-01-28",1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1129,1167
"2011-01-29",1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,975,1098
"2011-01-30",1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,956,1096
"2011-01-31",1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1459,1501
"2011-02-01",1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1313,1360
"2011-02-02",1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1454,1526
"2011-02-03",1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1489,1550
"2011-02-04",1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1620,1708
"2011-02-05",1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,905,1005
"2011-02-06",1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1269,1623
"2011-02-07",1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1592,1712
"2011-02-08",1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1466,1530
"2011-02-09",1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1552,1605
"2011-02-10",1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,1491,1538
"2011-02-11",1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1597,1746
"2011-02-12",1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1184,1472
"2011-02-13",1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1192,1589
"2011-02-14",1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1705,1913
"2011-02-15",1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,1675,1815
"2011-02-16",1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,1897,2115
"2011-02-17",1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,2216,2475
"2011-02-18",1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2348,2927
"2011-02-19",1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1103,1635
"2011-02-20",1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,1173,1812
"2011-02-21",1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,912,1107
"2011-02-22",1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1376,1450
"2011-02-23",1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,1778,1917
"2011-02-24",1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1707,1807
"2011-02-25",1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,1341,1461
"2011-02-26",1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,1545,1969
"2011-02-27",1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,1708,2402
"2011-02-28",1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,1365,1446
"2011-03-01",1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1714,1851
