date_operation,libelle,montant,solde_avt_ope,categ,type,tranche_depense,sens,annee,mois,jour,jour_sem,jour_sem_num,weekend,quart_mois
2023-03-31,DON XX XX XX XX XX XX XX,-1.44,1515.2499999999982,AUTRE,DON,petite,debit,2023,3,31,Friday,5,False,4
2023-04-03,CARTE XX XX RAPT XX,-24.0,1513.8099999999981,TRANSPORT,CARTE,petite,debit,2023,4,3,Monday,1,False,1
2023-04-03,CARTE XX XX RAPT XX,-73.0,1489.8099999999981,TRANSPORT,CARTE,petite,debit,2023,4,3,Monday,1,False,1
2023-04-03,CARTE XX XX XX XX,-14.39,1416.8099999999981,AUTRE,CARTE,petite,debit,2023,4,3,Monday,1,False,1
2023-04-03,VIREMENT XX XX XX XX XX XX,4.8,1402.419999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,Monday,1,False,1
2023-04-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,1407.219999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,Monday,1,False,1
2023-04-05,PRELEVEMENT XX TELEPHONE XX XX,-7.02,2083.219999999998,FACTURE TELEPHONE,AUTRE,petite,debit,2023,4,5,Wednesday,3,False,1
2023-04-05,CARTE XX XX XX XX XX,-15.2,2076.199999999998,AUTRE,CARTE,petite,debit,2023,4,5,Wednesday,3,False,1
2023-04-05,CARTE XX XX LES ANCIENS ROBINSON XX,-6.8,2060.999999999998,COURSES,CARTE,petite,debit,2023,4,5,Wednesday,3,False,1
2023-04-05,CARTE XX XX XX XX,-12.0,2054.199999999998,AUTRE,CARTE,petite,debit,2023,4,5,Wednesday,3,False,1
2023-04-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,2042.199999999998,COTISATION BANCAIRE,AUTRE,petite,debit,2023,4,6,Thursday,4,False,1
2023-04-07,VIREMENT XX XX XX XX XX XX XX XX XX XX,992.8,2040.359999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,7,Friday,5,False,1
2023-04-10,CARTE XX XX VELOC XX XX,-2.7,3033.159999999998,TRANSPORT,CARTE,petite,debit,2023,4,10,Monday,1,False,2
2023-04-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.42,3030.4599999999978,COURSES,CARTE,petite,debit,2023,4,10,Monday,1,False,2
2023-04-10,CARTE XX XX XX XX XX XX XX XX XX XX,-1.6,2988.0399999999977,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,False,2
2023-04-10,CARTE XX XX XX XX XX,-20.64,2986.439999999998,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,False,2
2023-04-10,CARTE XX XX XX XX XX XX,-6.0,2965.799999999998,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,False,2
2023-04-10,CARTE XX XX CHEZ LUC XX,-12.42,2959.799999999998,RESTAURANT,CARTE,petite,debit,2023,4,10,Monday,1,False,2
2023-04-10,CARTE XX XX XX XX,-84.4,2947.379999999998,AUTRE,CARTE,moyenne,debit,2023,4,10,Monday,1,False,2
2023-04-10,VIREMENT XX XX XX XX XX XX,1.6,2862.9799999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,10,Monday,1,False,2
2023-04-10,CARTE XX XX XX XX XX,-24.0,2864.5799999999977,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,False,2
2023-04-11,VIREMENT XX XX XX XX XX XX XX,836.0,2840.5799999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,Tuesday,2,False,2
2023-04-11,CARTE XX XX XX XX XX,-7.56,3676.5799999999977,AUTRE,CARTE,petite,debit,2023,4,11,Tuesday,2,False,2
2023-04-11,VIREMENT XX XX XX XX XX XX XX,869.44,3669.0199999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,Tuesday,2,False,2
2023-04-11,CARTE XX XX XX XX,-48.0,4538.459999999997,AUTRE,CARTE,petite,debit,2023,4,11,Tuesday,2,False,2
2023-04-12,CARTE XX XX XX XX XX,-28.96,4490.459999999997,AUTRE,CARTE,petite,debit,2023,4,12,Wednesday,3,False,2
2023-04-13,XX XX XX XX XX XX XX,-280.0,4461.499999999998,AUTRE,AUTRE,grosse,debit,2023,4,13,Thursday,4,False,2
2023-04-14,CARTE XX XX XX XX XX,-0.8,4181.499999999998,AUTRE,CARTE,petite,debit,2023,4,14,Friday,5,False,2
2023-04-14,CARTE XX XX CHEZ LUC XX,-8.8,4180.699999999997,RESTAURANT,CARTE,petite,debit,2023,4,14,Friday,5,False,2
2023-04-14,CARTE XX XX XX XX XX,-1.6,4171.899999999998,AUTRE,CARTE,petite,debit,2023,4,14,Friday,5,False,2
